name,website,country,maturity,score,tier,matched_rules
Honu,www.honu.ai,United Kingdom,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Kimara.ai,https://kimara.ai,FI,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Lightbringer,www.lightbringer.com,Sweden,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Ecomoni,www.ecomoni.nl,Netherlands,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Cetrium Oy,https://cetrium.eu,FI,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Axem Solutions,www.axem.dev,Hungary,Undisclosed,40,Tier 3: Medium Priority,Rule 5: Dev & Legacy
Zhiva,zhiva.sk,Slovakia,Undisclosed,40,Tier 3: Medium Priority,Rule 4: Health Innovations
Storest Oy,https://storest.fi/,FI,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
XL Batteries,xlbatteries.com,United States,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
WE ARCHIVE,https://search.wearchive.co/,SE,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Cyon.media,https://cyon.media,FI,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Misslaboratory,misslaboratory.com,Lithuania,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Manukai,www.manukai.ch,Switzerland,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
SOCLY.io,www.socly.io,India,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Combient,www.combient.com,Sweden,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
C12,https://www.c12qe.com/,,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Hefring Marine,www.hefringmarine.com,Iceland,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
phelas,https://phelas.com,Germany,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Kuormat.com Finland Oy,https://www.kuormat.com/,FI,startup,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
SpinDrive,https://spindrive.fi/,FI,scaleup,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
DSharp Oy,https://dsharp.fi/,FI,startup,40,Tier 3: Medium Priority,Rule 4: Health Innovations
Indices,https://indices.io,GB,startup,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
bex technologies,https://bexapp.de,DE,startup,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Mewery,https://mewery.io/,CZ,startup,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Smartstorify,https://smartstorify.ai,FI,startup,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Waterly,https://waterly.eu/en,PL,startup,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Element 16,https://element16.com,US,scaleup,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
DURI Inc,https://ricebari.com,KR,startup,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
All But Sugar,https://www.allbutsugar.com/ ,AT,startup,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Automata,https://automata.builders/,FI,startup,40,Tier 3: Medium Priority,Rule 5: Dev & Legacy
Hydros Power S. L.,https://hydros-pwr.com/,ES,startup,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
